trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-127.86067330260404,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",30,3,-19.569824719898815,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,12,-10.782911692753375,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-89.6192089645247,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,0,-151.76765214778538,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",1
47,False,"{'a': 0.5, 'e': 0.631283645506926}",25,1,-65.70955302595009,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 2}",1
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",25,0,-29.671409877408333,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,5,-49.00853681683769,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",35,8,-44.13431407694041,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-6.618201103981931,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",30,16,-19.36088029110476,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,0,-80.96426572287321,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-87.91687812986893,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-158.9254750543986,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,8,-34.68557755056904,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,0,-52.66623924708589,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,0,-14.24054016441116,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.559898366565402}",25,3,-83.7035515212771,"{0: 17, 1: 0, 2: 1, 3: 3, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",25,0,-53.202937766511916,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5488116360940264}",20,0,-19.210862072649928,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,0,-31.853210492823234,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,3,-57.654204106891406,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,0,-129.66768168463494,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,12,-38.54176171661168,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.522045776761016}",25,0,-40.52955683570759,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,-49.46123480080263,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,0,-74.144089176134,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,0,-61.31320357225963,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.5015760690660555}",25,8,-19.12427960115125,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,0,-35.12753761680117,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,2,-61.549051060772676,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
